Capital IQ Company Screening Report > [Financial Ratio Bot] Chemical companies test case,,,,,,,,,,,,,
,,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual],Exchanges [Primary Listing],Exchanges [Secondary Listings]
iShares Public Limited Company - iShares MSCI Japan USD Hedged UCITS ETF (Acc) (LSE:IJPD),LSE:IJPD,Financials (Primary),-, 60.99 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"BMV:IJPD N
Company: iShares Public Limited Company - iShares MSCI Japan USD Hedged UCITS ETF (Acc)
(IQT542559312) - Bolsa Mexicana de Valores (BMV)

SWX:IJPD
Company: iShares Public Limited Company - iShares MSCI Japan USD Hedged UCITS ETF (Acc)
(IQT249205571) - SIX Swiss Exchange (SWX)"
iShares Public Limited Company - iShares MSCI Korea UCITS ETF USD (Dist) (LSE:IDKO),LSE:IDKO,Financials (Primary),-, 87.85 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:IQQK
Company: iShares Public Limited Company - iShares MSCI Korea UCITS ETF USD (Dist)
(IQT250225384) - Deutsche Boerse AG (DB)

BIT:IKOR
Company: iShares Public Limited Company - iShares MSCI Korea UCITS ETF USD (Dist)
(IQT259848047) - Borsa Italiana (BIT)

SWX:IKOR
Company: iShares Public Limited Company - iShares MSCI Korea UCITS ETF USD (Dist)
(IQT244793239) - SIX Swiss Exchange (SWX)

N/A
Company: iShares Public Limited Company - iShares MSCI Korea UCITS ETF USD (Dist)
(IQT60071215) - London Stock Exchange (LSE)

XTRA:IQQK
Company: iShares Public Limited Company - iShares MSCI Korea UCITS ETF USD (Dist)
(IQT341809886) - XETRA Trading Platform (XTRA)"
iShares Public Limited Company - iShares MSCI North America UCITS ETF (SWX:INAA),SWX:INAA,Financials (Primary),-, 109.23 ,-,-,-,-,-,-,-,SIX Swiss Exchange (SWX),"DB:IQQN
Company: iShares Public Limited Company - iShares MSCI North America UCITS ETF
(IQT249980685) - Deutsche Boerse AG (DB)

BIT:INAA
Company: iShares Public Limited Company - iShares MSCI North America UCITS ETF
(IQT223519637) - Borsa Italiana (BIT)

ENXTAM:INAA
Company: iShares Public Limited Company - iShares MSCI North America UCITS ETF
(IQT181916152) - Euronext Amsterdam (ENXTAM)

LSE:IDNA
Company: iShares Public Limited Company - iShares MSCI North America UCITS ETF
(IQT59092086) - London Stock Exchange (LSE)

XTRA:IQQN
Company: iShares Public Limited Company - iShares MSCI North America UCITS ETF
(IQT341810695) - XETRA Trading Platform (XTRA)"
iShares Public Limited Company - iShares MSCI Taiwan UCITS ETF (BIT:ITWN),BIT:ITWN,Financials (Primary),-, 112.08 ,-,-,-,-,-,-,-,Borsa Italiana (BIT),"DB:IQQT
Company: iShares Public Limited Company - iShares MSCI Taiwan UCITS ETF
(IQT342001979) - Deutsche Boerse AG (DB)

BMV:IDTW N
Company: iShares Public Limited Company - iShares MSCI Taiwan UCITS ETF
(IQT592037038) - Bolsa Mexicana de Valores (BMV)

ENXTAM:ITWN
Company: iShares Public Limited Company - iShares MSCI Taiwan UCITS ETF
(IQT130326602) - Euronext Amsterdam (ENXTAM)

N/A
Company: iShares Public Limited Company - iShares MSCI Taiwan UCITS ETF
(IQT541803595) - London Stock Exchange (LSE)

XTRA:IQQT
Company: iShares Public Limited Company - iShares MSCI Taiwan UCITS ETF
(IQT341810859) - XETRA Trading Platform (XTRA)"
iShares Public Limited Company - iShares MSCI World UCITS ETF (LSE:IWRD),LSE:IWRD,Financials (Primary),-, 86.2 ,-,-,-,-,-,-,-,London Stock Exchange (LSE),"DB:IQQW
Company: iShares Public Limited Company - iShares MSCI World UCITS ETF
(IQT274164076) - Deutsche Boerse AG (DB)

BMV:IWRD N
Company: iShares Public Limited Company - iShares MSCI World UCITS ETF
(IQT249983724) - Bolsa Mexicana de Valores (BMV)

ENXTAM:IWRD
Company: iShares Public Limited Company - iShares MSCI World UCITS ETF
(IQT131448826) - Euronext Amsterdam (ENXTAM)

SWX:IWRD
Company: iShares Public Limited Company - iShares MSCI World UCITS ETF
(IQT243552135) - SIX Swiss Exchange (SWX)

XTRA:IQQW
Company: iShares Public Limited Company - iShares MSCI World UCITS ETF
(IQT274164075) - XETRA Trading Platform (XTRA)"
iShares Public Limited Company - iShares S&P 500 UCITS ETF (OTCPK:IHPC.F),OTCPK:IHPC.F,Financials (Primary),-, 56.82 ,-,-,-,-,-,-,-,-,"DB:IUSA
Company: iShares Public Limited Company - iShares S&P 500 UCITS ETF
(IQT249983732) - Deutsche Boerse AG (DB)

BMV:IUSA N
Company: iShares Public Limited Company - iShares S&P 500 UCITS ETF
(IQT110071792) - Bolsa Mexicana de Valores (BMV)

ENXTAM:IUSA
Company: iShares Public Limited Company - iShares S&P 500 UCITS ETF
(IQT245542074) - Euronext Amsterdam (ENXTAM)

SWX:IUSA
Company: iShares Public Limited Company - iShares S&P 500 UCITS ETF
(IQT244793243) - SIX Swiss Exchange (SWX)

LSE:IUSA
Company: iShares Public Limited Company - iShares S&P 500 UCITS ETF
(IQT541803677) - London Stock Exchange (LSE)"
iShares Public Limited Company - iShares UK Dividend UCITS ETF (SWX:IUKD),SWX:IUKD,Financials (Primary),-, 13.68 ,-,-,-,-,-,-,-,SIX Swiss Exchange (SWX),"DB:IQQD
Company: iShares Public Limited Company - iShares UK Dividend UCITS ETF
(IQT250274782) - Deutsche Boerse AG (DB)

BIT:IUKD
Company: iShares Public Limited Company - iShares UK Dividend UCITS ETF
(IQT52651891) - Borsa Italiana (BIT)

LSE:IUKD
Company: iShares Public Limited Company - iShares UK Dividend UCITS ETF
(IQT52651109) - London Stock Exchange (LSE)

N/A
Company: iShares Public Limited Company - iShares UK Dividend UCITS ETF
(IQT59091362) - XETRA Trading Platform (XTRA)

XTRA:IQQD
Company: iShares Public Limited Company - iShares UK Dividend UCITS ETF
(IQT342759895) - XETRA Trading Platform (XTRA)"
iShares S&P 500 AUD Hedged ETF (ASX:IHVV),ASX:IHVV,Financials (Primary),-, 519.02 ,-,-,-,-,-,-,-,Australian Securities Exchange (ASX),-
iShares S&P 500 ETF (ASX:IVV),ASX:IVV,Financials (Primary),-, 575.45 ,-,-,-,-,-,-,-,Australian Securities Exchange (ASX),-
iShares S&P 500 ETF (TSE:1655),TSE:1655,Financials (Primary),-, 41.36 ,-,-,-,-,-,-,-,The Tokyo Stock Exchange (TSE),-
